client_id,age,job,marital,education,default,balance,housing,loan,contact,duration,pdays,previous
12,26,admin.,single,secondary,no,255,no,no,cellular,457,80,1
2107,22,student,single,tertiary,no,691,no,no,cellular,260,103,1
609,26,admin.,single,secondary,no,255,no,no,cellular,457,80,1
722,26,student,single,secondary,no,620,no,no,cellular,223,94,1
2324,18,student,single,primary,no,608,no,no,cellular,210,135,1
1423,25,blue-collar,single,secondary,no,303,no,no,cellular,252,92,1
2306,19,student,single,unknown,no,108,no,no,cellular,273,182,1
749,26,management,single,tertiary,no,2786,no,no,cellular,300,72,1
2084,22,blue-collar,single,secondary,no,682,no,no,cellular,126,91,1
2203,21,student,single,secondary,no,2488,no,no,telephone,661,92,1
1759,24,admin.,single,secondary,no,1295,no,no,cellular,355,92,1
800,26,student,single,secondary,no,132,no,no,cellular,194,119,1
812,26,management,single,tertiary,no,943,no,no,cellular,166,195,1
2201,21,student,single,secondary,no,123,no,no,telephone,513,91,1
1976,23,student,single,secondary,no,1234,no,no,cellular,379,91,1
835,26,management,single,tertiary,no,3,yes,yes,cellular,149,350,1
2325,18,student,single,unknown,no,108,no,no,cellular,92,135,1
1741,24,student,single,tertiary,no,235,no,no,cellular,98,92,1
1695,24,student,single,secondary,no,23878,no,no,cellular,133,97,1
863,26,unemployed,single,secondary,no,632,no,no,cellular,312,181,1
2116,22,services,single,secondary,no,129,no,no,cellular,218,181,1
2111,22,student,single,secondary,no,216,no,no,cellular,363,187,1
1348,25,self-employed,single,tertiary,no,42,yes,no,cellular,149,94,1
1364,25,management,single,tertiary,no,219,no,no,cellular,576,96,1
1384,25,admin.,single,secondary,no,1871,no,no,cellular,260,96,1
1401,25,technician,single,secondary,no,139,no,yes,cellular,202,91,1
1404,25,management,married,unknown,no,448,no,no,cellular,151,297,1
1968,23,student,single,secondary,no,107,no,no,cellular,84,183,1
62,26,student,single,tertiary,no,294,no,no,cellular,87,91,2
744,26,admin.,single,tertiary,no,313,no,yes,cellular,199,96,2
781,26,admin.,single,secondary,no,255,no,no,cellular,209,106,2
798,26,management,single,tertiary,no,362,no,no,cellular,925,104,2
831,26,student,single,tertiary,no,294,no,no,cellular,87,91,2
854,26,management,single,tertiary,no,222,no,no,cellular,247,63,2
857,26,blue-collar,single,secondary,no,2007,no,no,cellular,272,182,2
1406,25,student,single,secondary,no,125,no,no,cellular,215,92,2
1758,24,student,single,secondary,no,1234,no,no,cellular,314,156,2
1693,24,blue-collar,single,secondary,no,167,no,yes,cellular,288,96,2
1732,24,technician,married,secondary,no,556,yes,no,cellular,368,80,2
1736,24,blue-collar,married,secondary,no,272,no,no,cellular,105,94,2
1746,24,technician,single,secondary,no,598,no,no,cellular,762,182,2
1980,23,student,single,secondary,no,107,no,no,cellular,256,181,2
1775,24,student,single,secondary,no,1809,no,no,cellular,165,95,2
1975,23,student,single,secondary,no,431,no,no,cellular,201,186,2
1996,23,technician,single,secondary,no,283,yes,no,cellular,175,184,2
2123,22,student,single,secondary,no,71,no,no,cellular,337,181,2
2127,22,student,single,secondary,no,216,no,no,cellular,178,179,2
2207,21,student,single,secondary,no,123,no,no,telephone,379,93,2
2266,20,student,single,unknown,no,829,no,no,cellular,196,202,2
2308,19,student,single,secondary,no,329,no,no,cellular,169,190,2
2309,19,student,single,primary,no,608,no,no,cellular,236,180,2
2314,19,student,single,unknown,no,108,no,no,cellular,168,182,2
1985,23,services,single,secondary,no,488,no,no,cellular,205,91,3
1995,23,self-employed,single,tertiary,no,780,no,no,cellular,393,183,3
880,26,management,single,tertiary,no,222,no,no,cellular,318,120,3
2113,22,student,single,secondary,no,948,no,no,telephone,169,191,3
2136,22,management,single,tertiary,no,104,no,yes,cellular,509,185,3
2138,21,student,single,secondary,no,2488,no,no,cellular,258,169,3
2215,21,student,single,secondary,no,2488,no,no,cellular,258,169,3
1436,25,student,single,secondary,no,154,no,no,cellular,382,183,3
737,26,admin.,single,secondary,no,2509,no,no,cellular,776,97,3
1740,24,technician,married,secondary,no,556,yes,no,cellular,278,94,4
1709,24,management,single,tertiary,no,1506,no,no,cellular,239,95,4
2118,22,student,single,primary,no,3472,no,no,cellular,529,181,4
1972,23,services,single,secondary,no,870,no,no,cellular,296,176,4
874,26,blue-collar,single,secondary,no,2007,no,no,cellular,194,92,5
837,26,management,single,tertiary,no,1646,no,no,cellular,524,206,5
829,26,admin.,single,tertiary,no,760,yes,no,cellular,456,281,5
2205,21,student,single,primary,no,423,no,no,telephone,287,285,5
2263,20,student,single,secondary,no,215,no,no,cellular,325,95,5
748,26,technician,single,secondary,no,1231,yes,no,cellular,385,96,5
1765,24,student,single,secondary,no,431,no,no,cellular,418,185,5
1982,23,student,single,tertiary,no,691,no,no,cellular,1178,178,6
1417,25,blue-collar,single,secondary,no,1857,yes,no,cellular,295,187,6
1889,23,student,single,secondary,no,0,no,no,cellular,297,83,6
2268,20,student,single,secondary,no,215,no,no,cellular,175,92,6
1956,23,student,single,secondary,no,0,no,no,cellular,217,99,7
794,26,technician,single,secondary,no,1231,yes,no,cellular,230,93,7
2211,21,student,single,secondary,no,215,no,no,cellular,382,89,7
1426,25,blue-collar,single,secondary,no,1857,yes,no,cellular,195,91,10
2124,22,student,single,primary,no,423,no,no,cellular,316,179,10
1441,25,blue-collar,single,secondary,no,1857,yes,no,cellular,187,91,12
